date,temperature,pressure,humidity,wind_dir,wind_speed,coluds_hight,rain,snow,fog,hail,drizzle,precipitation,ice_pellets,other
10/07/2013 17:00,13.6,771.7,79.0,6,3.0,8,0,0,0,0,0,0,0,0
10/07/2013 18:00,11.1,770.8,94.0,13,1.0,6,0,0,0,0,0,0,0,0
10/07/2013 19:00,12.9,771.5,79.0,13,3.0,8,0,0,0,0,0,0,0,0
10/07/2013 20:00,11.9,771.7,83.0,13,2.0,8,0,0,0,0,0,0,0,0
10/07/2013 21:00,10.0,771.3,97.0,14,1.0,1,1,0,0,0,0,0,0,1
10/07/2013 22:00,11.2,771.9,86.0,1,1.0,8,0,0,0,0,0,0,0,0
10/07/2013 23:00,10.5,771.4,97.0,4,1.0,4,0,0,0,0,0,0,0,0
11/07/2013 00:00,11.1,770.8,94.0,13,1.0,6,0,0,0,0,0,0,0,0
11/07/2013 01:00,10.5,771.4,97.0,4,1.0,4,0,0,0,0,0,0,0,0
11/07/2013 02:00,10.5,771.4,97.0,4,1.0,4,0,0,0,0,0,0,0,0
11/07/2013 03:00,19.3,769.7,68.0,11,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 04:00,11.1,770.8,94.0,13,1.0,6,0,0,0,0,0,0,0,0
11/07/2013 05:00,11.1,770.8,94.0,13,1.0,6,0,0,0,0,0,0,0,0
11/07/2013 06:00,11.7,770.7,91.0,16,1.0,6,0,0,0,0,0,0,0,0
11/07/2013 07:00,14.1,770.5,82.0,9,1.0,10,0,0,0,0,0,0,0,0
11/07/2013 08:00,16.6,770.5,74.0,13,1.0,10,0,0,0,0,0,0,0,0
11/07/2013 09:00,17.8,770.2,72.0,13,2.0,10,0,0,0,0,0,0,0,0
11/07/2013 10:00,18.5,770.0,69.0,12,3.0,10,0,0,0,0,0,0,0,0
11/07/2013 11:00,20.1,769.0,67.0,1,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 12:00,20.1,769.0,67.0,1,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 13:00,19.3,769.7,68.0,11,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 14:00,20.1,769.0,67.0,1,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 15:00,20.1,769.0,67.0,1,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 16:00,20.1,769.0,67.0,1,5.0,10,0,0,0,0,0,0,0,0
11/07/2013 17:00,19.9,768.8,63.0,1,3.0,10,0,0,0,0,0,0,0,0
11/07/2013 18:00,19.6,768.6,71.0,6,3.0,0,0,0,0,0,0,0,0,0
11/07/2013 19:00,18.5,768.6,68.0,1,4.0,10,0,0,0,0,0,0,0,0
11/07/2013 20:00,17.0,768.6,75.0,1,4.0,10,0,0,0,0,0,0,0,0
11/07/2013 21:00,13.5,767.7,93.0,5,2.0,10,0,0,0,0,0,0,0,0
11/07/2013 22:00,15.5,768.4,86.0,1,3.0,10,0,0,0,0,0,0,0,0
11/07/2013 23:00,15.2,768.4,87.0,6,3.0,10,0,0,0,0,0,0,0,0
12/07/2013 00:00,15.3,768.1,87.0,1,2.0,10,0,0,0,0,0,0,0,0
12/07/2013 01:00,13.5,767.7,93.0,5,2.0,10,0,0,0,0,0,0,0,0
12/07/2013 02:00,12.2,767.5,94.0,14,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 03:00,16.0,767.4,84.0,15,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 04:00,12.2,767.5,94.0,14,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 05:00,12.2,767.5,94.0,14,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 06:00,13.9,767.4,89.0,15,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 07:00,16.0,767.4,84.0,15,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 08:00,18.4,767.5,83.0,5,1.0,10,0,0,0,0,0,0,0,0
12/07/2013 09:00,23.2,767.2,58.0,9,3.0,10,0,0,0,0,0,0,0,0
12/07/2013 10:00,23.2,767.2,58.0,9,3.0,10,0,0,0,0,0,0,0,0
12/07/2013 11:00,23.6,767.2,66.0,13,4.0,10,0,0,0,0,0,0,0,0
12/07/2013 12:00,22.7,767.2,66.0,13,4.0,10,0,0,0,0,0,0,0,0
12/07/2013 14:00,21.2,767.3,68.0,11,4.0,10,0,0,0,0,0,0,0,0
12/07/2013 15:00,21.0,767.2,67.0,12,5.0,10,0,0,0,0,0,0,0,0
12/07/2013 16:00,20.1,767.2,73.0,11,4.0,0,0,0,0,0,0,0,0,0
12/07/2013 17:00,21.2,767.0,69.0,11,3.0,10,0,0,0,0,0,0,0,0
12/07/2013 18:00,20.8,766.9,69.0,11,3.0,10,0,0,0,0,0,0,0,0
12/07/2013 19:00,20.2,767.1,70.0,11,2.0,7,0,0,0,0,0,0,0,0
12/07/2013 20:00,19.4,767.2,72.0,11,2.0,7,0,0,0,0,0,0,0,0
12/07/2013 21:00,18.4,767.3,78.0,1,3.0,7,0,0,0,0,0,0,0,0
12/07/2013 22:00,17.9,767.4,77.0,14,2.0,7,0,0,0,0,0,0,0,0
12/07/2013 23:00,17.7,767.4,79.0,15,1.0,9,0,0,0,0,0,0,0,0
13/07/2013 00:00,17.2,767.3,84.0,15,2.0,9,0,0,0,0,0,0,0,0
13/07/2013 01:00,17.1,767.2,86.0,9,2.0,7,0,0,0,0,0,0,0,0
13/07/2013 02:00,17.9,767.2,81.0,5,1.0,10,0,0,0,0,0,0,0,0
13/07/2013 03:00,17.1,767.5,83.0,9,3.0,10,0,0,0,0,0,0,0,0
13/07/2013 04:00,15.6,767.8,87.0,5,3.0,10,0,0,0,0,0,0,0,0
13/07/2013 05:00,15.3,768.1,91.0,9,4.0,10,0,0,0,0,0,0,0,0
13/07/2013 06:00,15.5,768.4,89.0,5,3.0,5,0,0,0,0,0,0,0,0
13/07/2013 07:00,13.9,768.7,94.0,14,4.0,2,0,0,0,0,1,0,0,0
13/07/2013 08:00,13.2,769.5,88.0,5,8.0,5,0,0,0,0,0,0,0,0
13/07/2013 09:00,13.2,769.5,85.0,5,7.0,5,0,0,0,0,0,0,0,0
