date,temperature,pressure,humidity,wind_dir,wind_speed,coluds_hight,rain,snow,fog,hail,drizzle,precipitation,ice_pellets,other
25.01.2021 23:00,1.5,757.3,85,2,2.0,6,0,0,0,0,0,0,0,0
26.01.2021 00:00,1.8,757.6,85,7,5.0,8,0,0,0,0,0,0,0,0
26.01.2021 01:00,2.0,757.7,87,7,5.0,9,0,0,0,0,0,0,0,0
26.01.2021 02:00,1.1,758.2,89,2,3.0,10,0,0,0,0,0,0,0,0
26.01.2021 03:00,0.9,758.2,90,4,2.0,10,0,0,0,0,0,0,0,0
26.01.2021 04:00,-1.3,758.5,93,5,1.0,10,0,0,0,0,0,0,0,0
26.01.2021 05:00,-1.8,758.7,94,5,2.0,10,0,0,0,0,0,0,0,0
26.01.2021 06:00,-2.2,758.9,96,15,1.0,10,0,0,0,0,0,0,0,0
26.01.2021 07:00,-2.5,759.0,96,0,0.0,10,0,0,0,0,0,0,0,0
26.01.2021 08:00,-1.9,758.9,95,8,1.0,10,0,0,0,0,0,0,0,0
26.01.2021 09:00,-2.9,758.9,94,5,1.0,10,0,0,0,0,0,0,0,0
26.01.2021 10:00,-2.5,758.8,95,9,1.0,9,0,0,0,0,0,0,0,0
26.01.2021 11:00,-1.6,758.7,94,14,1.0,6,0,0,0,0,0,0,0,0
26.01.2021 12:00,-0.3,758.6,94,5,1.0,6,0,0,0,0,0,0,0,0
26.01.2021 13:00,0.4,758.6,93,14,1.0,6,0,0,0,0,0,0,0,0
26.01.2021 14:00,0.4,757.9,93,9,1.0,6,0,0,0,0,0,0,0,0
26.01.2021 15:00,0.6,757.1,93,9,1.0,10,0,0,0,0,0,0,0,0
26.01.2021 16:00,1.0,756.7,93,6,1.0,10,0,0,0,0,0,0,0,0
26.01.2021 17:00,1.3,756.6,92,17,0.0,9,0,0,0,0,0,0,0,0
26.01.2021 18:00,0.6,756.2,94,14,1.0,8,0,0,0,0,0,1,0,0
26.01.2021 19:00,0.5,755.8,95,5,1.0,8,0,0,0,0,1,0,0,0
26.01.2021 20:00,0.6,755.8,97,14,1.0,8,0,0,0,0,0,0,0,0
26.01.2021 21:00,0.5,755.4,96,5,1.0,8,0,0,0,0,0,0,0,0
26.01.2021 22:00,0.6,755.1,97,17,0.0,8,0,0,0,0,1,0,0,0
26.01.2021 23:00,0.3,754.9,97,5,1.0,5,0,1,0,0,1,0,0,0
27.01.2021 00:00,1.4,754.8,97,17,0.0,8,1,0,0,0,0,0,0,1
27.01.2021 01:00,0.6,754.6,97,9,1.0,5,1,0,0,0,0,0,0,1
27.01.2021 02:00,0.8,754.4,97,5,1.0,5,1,0,0,0,0,0,0,1
27.01.2021 03:00,1.0,754.3,98,2,1.0,4,1,0,0,0,0,0,0,1
27.01.2021 04:00,1.7,754.8,98,4,4.0,4,0,0,0,0,0,0,0,0
27.01.2021 05:00,1.8,754.9,95,9,2.0,5,0,0,0,0,0,0,0,0
27.01.2021 06:00,2.0,755.2,93,9,4.0,5,1,0,0,0,0,0,0,1
27.01.2021 07:00,1.6,755.5,92,4,4.0,5,0,0,0,0,0,0,0,0
27.01.2021 08:00,2.0,756.1,91,4,5.0,8,0,0,0,0,0,0,0,0
27.01.2021 09:00,2.0,756.7,90,7,5.0,8,0,0,0,0,0,0,0,0
27.01.2021 10:00,2.2,757.0,87,4,5.0,6,0,0,0,0,0,0,0,0
27.01.2021 11:00,2.4,757.6,90,4,5.0,5,0,0,0,0,0,0,0,0
27.01.2021 12:00,2.7,757.9,96,5,5.0,4,1,0,0,0,0,0,0,1
27.01.2021 13:00,2.9,758.5,92,5,4.0,5,0,0,0,0,0,0,0,0
27.01.2021 14:00,3.1,758.8,85,5,3.0,6,0,0,0,0,0,0,0,0
27.01.2021 15:00,3.2,758.8,83,4,3.0,9,0,0,0,0,0,0,0,0
27.01.2021 16:00,2.3,759.1,83,7,2.0,9,0,0,0,0,0,0,0,0
27.01.2021 17:00,1.7,759.4,86,4,2.0,9,0,0,0,0,0,0,0,0
27.01.2021 18:00,0.6,759.4,86,5,2.0,9,0,0,0,0,0,0,0,0
27.01.2021 19:00,0.5,759.3,90,9,2.0,10,0,0,0,0,0,0,0,0
27.01.2021 20:00,1.3,759.2,84,9,3.0,9,0,0,0,0,0,0,0,0
27.01.2021 21:00,1.4,759.1,81,5,1.0,9,1,0,0,0,0,0,0,1
27.01.2021 22:00,0.9,759.0,82,9,1.0,9,0,0,0,0,0,0,0,0
27.01.2021 23:00,-1.3,758.4,88,5,2.0,9,0,0,0,0,0,0,0,0
28.01.2021 00:00,2.7,746.1,97,13,7.0,4,0,0,0,0,0,0,0,0
28.01.2021 01:00,-1.0,757.1,85,2,1.0,9,0,0,0,0,0,0,0,0
28.01.2021 02:00,-2.5,756.2,90,14,1.0,10,0,0,0,0,0,0,0,0
28.01.2021 03:00,-2.8,755.5,94,14,1.0,9,0,0,0,0,0,0,0,0
28.01.2021 04:00,-2.3,755.0,94,1,1.0,9,0,0,0,0,0,0,0,0
28.01.2021 05:00,-2.5,754.3,96,5,1.0,9,0,0,0,0,0,0,0,0
28.01.2021 06:00,-2.2,753.4,96,17,0.0,9,0,0,0,0,0,0,0,0
28.01.2021 07:00,0.1,753.0,87,4,1.0,9,0,0,0,0,0,0,0,0
28.01.2021 08:00,0.5,753.0,84,9,1.0,6,0,0,0,0,0,0,0,0
28.01.2021 09:00,1.4,752.3,80,15,1.0,9,0,0,0,0,0,0,0,0
28.01.2021 10:00,1.9,751.9,83,6,2.0,6,0,0,0,0,0,0,0,0
28.01.2021 11:00,2.8,752.0,76,11,3.0,6,0,0,0,0,0,0,0,0
28.01.2021 12:00,2.8,751.9,86,11,1.0,6,0,0,0,0,0,0,0,0
28.01.2021 13:00,3.3,751.3,87,12,3.0,8,0,0,0,0,0,0,0,0
28.01.2021 14:00,3.1,750.7,88,12,4.0,8,0,0,0,0,0,0,0,0
