date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
29.04.2021 23:00,4,757.1,763.2,1,88,,,,,,Rain (not freezing). ,,,,,,,600-1000,,,22,2.1,,,,,,
29.04.2021 22:00,4,757,763,1.3,84,,,,,,"Rain shower(s) or intermittent rain, moderate. ",,,,,,,300-600,,,13,1.5,,,,,,
29.04.2021 21:00,4.7,756.5,762.6,1.1,77,,,,,, ,,,,,,,600-1000,,,50,0.9,,,,,,
29.04.2021 20:00,5.9,756.1,762.1,1,67,,,,,, ,,,,,,,600-1000,,,45,0.2,,,,,,
29.04.2021 19:00,5.8,755.7,761.7,0.5,72,,,,,, ,,,,9,,,600-1000,,,50,1,Trace of precipitation,12,,,,
29.04.2021 18:00,6.9,755.4,761.4,0.2,64,,,,,, ,,,,,,,600-1000,,,50,0.4,,,,,,
29.04.2021 17:00,7.7,755.1,761.1,-0.1,64,,,,,,Rain (not freezing). ,,,,,,,600-1000,,,45,1.3,,,,,,
29.04.2021 16:00,6.4,755.2,761.2,0,74,,,,,,Rain (not freezing). ,,,,,,,600-1000,,,17,2,,,,,,
29.04.2021 15:00,7.8,755.2,761.2,-0.2,59,,,,,, ,,,,,,,1000-1500,,,29,0.2,,,,,,
29.04.2021 14:00,6.9,755.2,761.2,0.1,64,,,,,, ,,,,,,,600-1000,,,45,0.4,,,,,,
29.04.2021 13:00,7.2,755.2,761.2,0.2,59,,,,,,Rain (not freezing). ,,,,,,,600-1000,,,50,-0.4,Trace of precipitation,6,,,,
29.04.2021 12:00,5.4,755.4,761.4,0.3,78,,,,,,"Rain shower(s) or intermittent rain, slight. ",,,,,,,600-1000,,,45,1.8,,,,,,
29.04.2021 11:00,7.1,755.1,761.1,0.1,64,,,,,, ,,,,,,,600-1000,,,40,0.6,,,,,,
29.04.2021 10:00,6.9,755,761,0.1,69,,,,,,Rain (not freezing). ,,,,,,,600-1000,,,40,1.6,,,,,,
29.04.2021 09:00,4.9,755.1,761.2,0.3,78,,,,,,"Drizzle and rain, slight. ",,,,,,,300-600,,,40,1.3,,,,,,
